# Zeit in s, Temperatur in °C
2.150000000000000000e+01,4.622388612867280244e+01
2.175000000000000000e+01,4.746855645876923546e+01
2.200000000000000000e+01,4.629675549338536200e+01
2.225000000000000000e+01,4.727447713569471688e+01
2.250000000000000000e+01,4.599822737599138378e+01
2.275000000000000000e+01,4.699349576178846633e+01
2.300000000000000000e+01,4.748581754588534665e+01
2.325000000000000000e+01,4.711066308955015103e+01
2.350000000000000000e+01,4.586433620765524921e+01
2.375000000000000000e+01,4.675053238061534699e+01
2.400000000000000000e+01,4.747178331945738705e+01
2.425000000000000000e+01,4.597321309266317257e+01
2.450000000000000000e+01,4.547458687995634108e+01
2.475000000000000000e+01,4.568100671073985097e+01
2.500000000000000000e+01,4.622521376686128036e+01
2.525000000000000000e+01,4.723864277261849764e+01
2.550000000000000000e+01,4.744439003363955720e+01
2.575000000000000000e+01,4.642737673932389697e+01
2.600000000000000000e+01,4.663723208556822186e+01
2.625000000000000000e+01,4.641776046602274874e+01
2.650000000000000000e+01,4.653394866661700746e+01
2.675000000000000000e+01,4.682121163354976545e+01
2.700000000000000000e+01,4.655755159626681916e+01
2.725000000000000000e+01,4.662035319064143124e+01
2.750000000000000000e+01,4.694811719298628816e+01
2.775000000000000000e+01,4.598517902011709424e+01
2.800000000000000000e+01,4.637474132444874897e+01
2.825000000000000000e+01,4.678050727996720326e+01
2.850000000000000000e+01,4.662366926132522593e+01
2.875000000000000000e+01,4.578153893903493099e+01
2.900000000000000000e+01,4.686437618868925625e+01
